track_id,track_name,artist_name,album_name,release_date,popularity
63gCxW5pWlNLbJaUpLOfzw,City Pop with Shakuhachi and Koto Soundtrack for Japanese Coffeehouses,Japanese City Pop Radio,Bgm for Japanese Coffeehouses,2021-07-18,0
0nIXJyqjBMGq21bxQLTf9b,死ぬのがいいわ,Fujii Kaze,The J-Pop Hits,2022-09-20,14
4RwJjUfepfNywYUAGzay5Y,Saturday Pops for Her,Naivepop Or Petitfool,Pop Japanese Style!,1998,1
0zvShmGEaZv0XTDZR2c6u3,Jazz Pop,Pixel Frequency,Japanese 80s Pop Synthwave: Dark Cyberpunk Asian City Mix,2021-02-09,1
50Nl15qmE0fVC7Aksv43Um,J-Pop,Xinlisupreme,J-Pop,2019-11-01,2
3NlNHYs6WbKblgWJvpcYqY,Blue Poppy Restaurant,Steve Urwin,"Japanese Autumn, Vol. 3",2015-12-03,2
5MZqnYTZC3BJmGu5nfNeU7,∞ループ,Perfume,ポリゴンウェイヴ EP,2021-09-22,15
421vjN5nGJTf5YQQCQIoEP,Simply Another Love,JADOES,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
6Vrw1pR0nyxq4BeXjbS5aw,Pop Tune,Shonen Knife,Pop Tune,2012-06-05,2
5o6WkqULlLtGQN2x8r6lhb,Moonlight Flight,岩渕まこと,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,8
0GP1jFlwaZ6HBidQiUvKR2,ミックス,マルシィ,Japan Best Hits 2023,2023-12-01,20
0KxLbMk16z22T9wGEMUYe5,Juggler,黒住憲五,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
4tx6oz3eZlYFfYrMDIqdbW,クラクラ,Ado,Japan Best Hits 2023,2023-12-01,18
51O6Nk4j2qGKvLez1QLU5H,Tuxedo Connection - 2021 Remaster,Hitomi Tohyama,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,8
6xj8bD4v3Z4U3SKbCs9Ekx,Groovy night,POP ART TOWN,Groovy night,2024-01-31,17
4NTxnhbd3YWkSYrD36D1i1,Untitled Japanese City Pop 34,notsong,Untitled Japanese City Pop 34,2024-09-13,0
4SsJuXAyJeSGaVTSJGUMPO,TOKYO GIRL,Perfume,TOKYO - CITY POP -,2021-06-01,17
7CBv86xyUHyJf8kGETOJ39,Untitled Japanese City Pop 18,notsong,Untitled Japanese City Pop 18,2024-08-23,0
7vhPwserJX6UwV4PwRQfh0,VOICE,Perfume,VOICE,2010-08-11,11
6twsjdqLzTFJ0ZwCfT1mSC,Untitled Japanese City Pop 41,notsong,Untitled Japanese City Pop 41,2024-10-20,0
0g0Ug1u0SVc12ley5WasVk,不自然なガール,Perfume,"Perfume The Best ""P Cubed""",2019-09-18,22
0ASnFDbwcWgqRUmOl7M7oH,Untitled Japanese City Pop 24,notsong,Untitled Japanese City Pop 24,2024-08-31,1
4cRVNPqz6NrOhnoubcloWM,だいじょばない,Perfume,未来のミュージアム,2013-01-01,19
7wQOFbG6QjYLZGtMt14E1L,Yume sarinu,Noboru Kirishima,"Vintage Japanese Music, Postwar Popularity (1945-1950)",2017-11-30,4
1ZBfuMPsVJmsA1c5yWsYGv,TongPoo,Nuito,Unutella,2009,9
00WCVNZbuoxP6DGMW7IX7k,Turning Japanese (made popular by The Vapors) [backing version],Party Tyme,1980s Variety Hits 6 - Party Tyme (Backing Versions),2023-09-08,0
6nDe5tvF7UBridSj5Vc8qU,日本国 - Kimi Ga Yo,君が代,日本国 - Kimi Ga Yo - Single,2011-09-21,26
2PE6iUg8mHfAhHoLrLhV44,Hallucinogenics - Japanese Wallpaper & Winona Oak Remix,Matt Maeson,Mellow Alt. Pop,2022-11-04,1
0ogzq2O5VdFgZvEnDAL7mH,Spending all my time - Radio Mix,Perfume,LEVEL3 (Bonus Edition),2014-10-07,12
4PuboUmCPDo81oyHPG6tqw,Ojosan Oteyawarakani,Kiyohiko Ozaki,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
0lWBUQZ8A1zaZS6LAB7ucx,Factory,CAPSULE,PLAYER,2010-03-03,7
5p74GNJPVsCpGfN0xrOG5A,Osake To Joke,山科晴義,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
2CCfx5lgib2KH26EJ4amyC,MANDARA,NEO JAPONISM,WABISABI WASABI,2023-06-28,7
3K77dCnh8ve369SAM6H5fT,Natsu no Hikari Ni,Sumiko Yamagata,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,8
5rkFCjoQP3pZKXDdw5qUm2,Otemoyan,Chiemi Eri,"Japanese Retro Hits - The Fifties, Volume 5",2012-10-04,11
7nxyjnidpGNgZZ0a1r1pXJ,Indo No Michibata,牧 ミユキ,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
2xAIQz8CusWX3dzBpqYKSD,Pop Sicle,High Rise,High Rise II,1986,5
2ZCtddbFCPHSfd4JqJFyTr,Party Is Over,Hatsumi Shibata,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,7
3xIEQ3A91sjrPIBbFf4dX6,ポイント,Perfume,Spending all my time,2012-08-15,14
2US29uvLZUrjOr6RORTdRY,Saigo-no Tejina,Hiroshi Sato,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,5
08ffoKmbPacyyOXQnVyBRC,POWER POP,SpecialThanks,SEVEN SHOWERS,2009-07-22,2
3s0oRvArgr0qmBcPhLKyq8,Koi No Paradigm,西崎 健,"DJ NOTOYA Presents TOKYO GLOW: Japanese City Pop, Funk & Boogie",2021-12-10,6
43dKZvqg7oEwIN3xtaH1FP,Pop Group,Nisennenmondai,Neji/Tori,2008-07-30,2
009SuNDX4DkQBUblrzWu9B,Tabaruzaka,横山勝也,The Shakuhachi on Pops: Japanese Folk Melodies,1972-08-25,3
5yWeWjAoIuQe8YK7S23xt9,未来島,Mori Calliope,Japan Best Hits 2023,2023-12-01,10
