track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
35WLGytCEIVPLBPfhNPhTp,,0.552,0.984,8.0,-1.015,1.0,0.0357,0.068,0.0465,0.0628,0.881,128.015
5kMjsKomyrFabQk0GFVZFg,,0.355,0.837,7.0,-6.149,1.0,0.0422,0.324,0.795,0.258,0.734,149.968
1uQxhTUFcO3eQwMwjYRYr9,,0.496,0.963,11.0,-2.961,0.0,0.0303,0.0462,0.000232,0.0961,0.961,134.977
4ONvN9Ju2AgrD1oJp1C8B0,,0.488,0.913,5.0,-2.502,1.0,0.0584,0.000471,0.00013,0.133,0.657,142.984
3KRY2qcdI8cpVzsdgBUhTZ,,0.529,0.477,7.0,-6.739,1.0,0.0268,0.718,0.0,0.269,0.236,146.065
7tiSEVKnwR6b0rQ4FdBDN2,,0.547,0.121,2.0,-15.268,1.0,0.0474,0.975,0.00627,0.117,0.246,173.35
2OjtbGJKdCapBD6oc9vWKL,,0.715,0.93,1.0,-2.302,1.0,0.0327,0.00189,0.000945,0.0819,0.739,150.035
6TJ1GJoynC3DXiQVs3OjwQ,,0.718,0.878,5.0,-3.602,1.0,0.0942,0.329,0.0,0.304,0.933,159.995
6PMlgdxz5z3Tef8vsDW0UW,,0.558,0.941,0.0,-1.766,1.0,0.0614,0.0205,0.000837,0.188,0.786,76.995
5H4Afo4lYM4m40gibCKbu0,,0.747,0.581,9.0,-6.961,1.0,0.0424,0.00383,0.0318,0.079,0.802,144.01
7fZ3if14UX4Pe7LYIHHCEW,,0.689,0.82,1.0,-7.286,1.0,0.178,0.234,0.0,0.353,0.54,106.994
4KKTi0F2u4Ynt8nuhfEsoA,,0.519,0.978,0.0,-1.092,1.0,0.187,0.0153,3.94e-05,0.261,0.773,184.172
1ZqWOgZzRzahaVyYP9iieD,,0.673,0.397,4.0,-11.257,1.0,0.0291,0.295,0.712,0.0812,0.729,107.909
5YLc0AJUdHZyPnnlDZuyC8,,0.79,0.772,8.0,-8.604,1.0,0.23,0.201,0.000436,0.0968,0.216,123.978
1IOZ9nU6TMnP9HUai7hdls,,0.707,0.834,0.0,-3.286,0.0,0.0452,0.00262,0.00433,0.23,0.875,141.983
1Kcg5qOarIapnIyHNdwfxu,,0.685,0.767,1.0,-4.67,1.0,0.0329,0.0168,1.52e-06,0.14,0.795,104.012
0DcwTIlCyAw97yPGAZ3ym6,,0.59,0.81,5.0,-4.371,1.0,0.0313,0.00122,0.0,0.0572,0.497,124.009
4A9TB6jHKq5A7pqiGwEwJ5,,0.719,0.973,9.0,-1.735,0.0,0.0505,0.0219,0.000237,0.125,0.693,137.032
2hisoQ6v0icFRZi5WnPihJ,,0.826,0.882,9.0,-4.523,0.0,0.0797,0.0261,0.00104,0.0544,0.641,113.982
1OsSvCcRWFwa5woCMmeH0n,,0.396,0.137,5.0,-13.766,1.0,0.0318,0.918,2.97e-05,0.152,0.241,83.915
6ZyI19rPKDfAiZmQg8ZQ76,,0.281,0.991,5.0,-1.744,1.0,0.0994,0.00248,0.568,0.508,0.0713,170.006
3St5dWh9yEBBIoKYXBfPGT,,0.563,0.132,11.0,-15.689,0.0,0.0329,0.906,0.000725,0.1,0.279,147.88
6s7fr8XbhJuQTXRKcB3GYa,,0.836,0.696,5.0,-6.558,1.0,0.0301,0.0791,0.0114,0.0561,0.75,97.823
2YzuZ4xyxTnpXUx9f2zViL,,0.678,0.954,6.0,-2.039,0.0,0.0337,0.0223,0.486,0.334,0.531,132.017
58g6U8qFgMqJyvSQbtxj3E,,0.449,0.883,6.0,-3.923,1.0,0.041,0.00139,0.0634,0.148,0.675,175.007
0sN4n0QE3CSO7Qmz7VKu8b,,0.638,0.84,5.0,-5.787,1.0,0.0309,0.159,0.132,0.232,0.874,109.942
4YHuamtEs3djrXVieR45n4,,0.597,0.723,7.0,-6.973,1.0,0.0329,0.211,0.955,0.105,0.693,96.972
14bxTiLyqpNyPknYJj6AJC,,0.405,0.266,7.0,-12.136,0.0,0.0398,0.984,0.836,0.0991,0.0683,84.886
6cqx6ylD1UQ730USITqhd0,,0.613,0.934,9.0,-0.894,1.0,0.0362,0.00103,5.57e-06,0.11,0.61,109.968
5TsvjIcfNGvWCUZEWXmBBr,,0.72,0.42,0.0,-10.797,0.0,0.0371,0.175,1.47e-05,0.104,0.21,103.966
1wEkLgoyUyfH110YilFeIE,,0.76,0.721,10.0,-5.921,1.0,0.0338,0.0474,0.0,0.332,0.678,125.012
29iLMbCYl17kJHdchlhMd8,,0.389,0.864,11.0,-3.349,1.0,0.0681,0.00563,0.0,0.285,0.576,109.295
46uVVIooXoRfCLwVjcKiH4,,0.491,0.968,1.0,-4.135,1.0,0.0947,8.62e-05,0.000171,0.0231,0.678,125.059
5c8em3cM2Vr4aKX2WrPRns,,0.661,0.438,5.0,-13.476,0.0,0.0463,0.641,0.928,0.105,0.423,126.973
5psoHRZLny713ndQc6X9up,,0.761,0.897,7.0,-2.702,1.0,0.169,0.0343,0.00158,0.0683,0.368,154.965
3BGoagTX21jwvf4A3eJe2I,,0.447,0.848,0.0,-3.115,1.0,0.0649,0.0289,0.0,0.353,0.421,159.956
0JRcGi2nIZnyciG41qpLd1,,0.815,0.581,1.0,-4.519,1.0,0.0421,0.0989,5.74e-05,0.165,0.958,120.019
60v5BCPY1KCcy6AaK30Xov,,0.488,0.982,5.0,-3.199,0.0,0.0531,0.0299,0.0913,0.193,0.697,110.05
7qlcLIyvpGoMZVkyfUDdyR,,0.757,0.748,0.0,-10.003,1.0,0.0293,0.0702,0.0181,0.0996,0.846,101.987
7nGSMbGCcpngucLBFyl4Yv,,0.815,0.877,7.0,-3.144,1.0,0.0311,0.111,0.000211,0.122,0.684,131.981
6QXOTx9JS8zQsqg2rWdQ6A,,0.669,0.68,0.0,-4.562,1.0,0.12,0.261,0.0,0.0977,0.759,77.463
7x5Vrdx1pBFrpDSUmc3ZC5,,0.615,0.472,1.0,-14.381,1.0,0.0487,0.00353,0.00677,0.157,0.433,94.977
65Ja11My30FLnZcLxjqLAW,,0.74,0.664,2.0,-6.106,0.0,0.086,0.0336,0.000314,0.0996,0.522,90.0
1ZQ5uKcbsVQJmAyifGfQtW,,0.796,0.378,2.0,-13.743,1.0,0.119,0.0131,0.406,0.106,0.335,97.009
