track_id,track_name,artist_name,album_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7oLjaDKylMrzqLc4GflC6W,Samurai Cafè,24/7 lofi,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,2,0.662,0.365,0.0,-9.859,0.0,0.0488,0.00331,0.778,0.14,0.378,80.002
4D8wqdUzClwaWXLWRCv0Vi,Cassette Tape Dream,しゃろう,Cassette Tape Dream,2021-02-21,35,0.86,0.663,8.0,-8.511,0.0,0.0711,0.222,0.000121,0.0937,0.948,107.004
0aTZLgFm5HqP6uQxJOhNMA,Fight The Night,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,3,0.365,0.889,4.0,-5.003,0.0,0.0422,0.00829,0.55,0.231,0.318,109.985
6Dwv4HI2oLXiyqDDiV8MKT,Tokyo Flash,Vaundy,Tokyo Flash,2019-11-29,23,0.627,0.648,2.0,-5.212,1.0,0.0318,0.00255,5.17e-06,0.0466,0.614,97.995
539wpuFo5u3MOEr3aJ0u6M,Song For Lisa,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,2,0.52,0.932,7.0,-4.359,0.0,0.0465,0.00103,1.84e-06,0.12,0.263,125.985
13PeYnWsFhFAQlXYGBaGTS,POP STAR,Ken Hirai,FAKIN' POP,2005,34,0.644,0.989,5.0,-2.773,1.0,0.0583,0.0299,9.19e-06,0.171,0.852,140.098
15JkXBaaE9dUwylcKCQxlR,Shells Of Silver,The Japanese Popstars,Shells Of Silver,2011-01-01,8,0.35,0.735,0.0,-7.146,1.0,0.173,0.173,0.000689,0.61,0.261,99.972
171TB5BXHExQGVxtDSosd2,ビタミンドロップ,Perfume,Perfume～Complete Best～,2006-08-02,28,0.472,0.975,10.0,-0.225,1.0,0.0404,0.00376,0.00176,0.0485,0.934,154.931
2ui4fOKIGzQXU5UJG8uKGa,Destroy,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,2,0.528,0.799,1.0,-3.739,0.0,0.0386,0.0382,0.288,0.135,0.0718,165.048
1N5G5hBH6ASbWZs0fGwdIV,JAPANESE WOMAN,Bread And Butter,Monday Morning,1980,29,0.806,0.657,11.0,-8.351,0.0,0.0315,0.286,0.0178,0.0911,0.785,102.475
3j6ReDwmtb1cUAMoihdLc0,Joshua - Original Club Instrumental,The Japanese Popstars,Joshua,2011-01-01,1,0.502,0.787,0.0,-9.44,1.0,0.0312,7.82e-05,0.46,0.141,0.14,127.008
1pDGdfoaFjaFaGAtq1z595,ハナミズキ,Yo Hitoto,J-POP Viral Hits: loved by K-POP stars,2023-06-16,18,0.494,0.45,4.0,-5.473,1.0,0.0287,0.449,0.0,0.343,0.297,139.702
4HIrp1rMzr95X0Xw4Ljgft,Take Forever,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,7,0.499,0.836,5.0,-5.424,1.0,0.0416,0.00981,0.723,0.096,0.188,115.051
6zTxT0lmklEOfH8TtNLd1a,City Pop,Sugar's Campaign,City Pop,2019-05-31,24,0.62,0.74,9.0,-8.753,1.0,0.0522,0.0271,0.0776,0.158,0.925,174.949
3C0yxTDnKHA1BV5ZXy5e49,Blue Tongue,John Digweed,Versus,2013-10-07,6,0.674,0.955,7.0,-7.923,1.0,0.0884,0.00365,0.858,0.0547,0.572,124.982
10ej4fERhZetpREUAbxUFb,10C,しゃろう,10C,2021-02-18,37,0.57,0.645,3.0,-10.349,1.0,0.0398,0.121,0.0133,0.178,0.776,160.003
3Wt0F41P9eevGDvBSIIqhE,ASAP - Japanese Ver.,STAYC,POPPY (Japanese Ver.),2022-11-23,24,0.75,0.762,0.0,-5.436,1.0,0.0321,0.119,0.0,0.176,0.314,131.997
6lQqbkiYCZtr5HdD7eWdTA,東京LOVER,Mioko Yamaguchi,Yume Hiko,1980,29,0.726,0.58,8.0,-7.48,1.0,0.0345,0.707,0.00689,0.153,0.757,122.497
2cqryvZw7qDF8UynRBNS6Q,Never Gonna Give You Up (Japanese Version),Caitlin Myers,City Poppin',2021-03-07,35,0.624,0.618,11.0,-10.531,1.0,0.0265,0.169,0.0,0.292,0.873,107.969
4I96Nm6WvJgFXqnl5vQFjY,Peace - The Japanese Popstars Remix,Depeche Mode,"Sounds of The Universe | The 12"" Singles",2023-08-04,5,0.64,0.577,10.0,-7.93,1.0,0.0865,0.0083,0.0285,0.0976,0.0483,130.041
6Ujff0V1HPkvD6QxLHctff,ポリゴンウェイヴ,Perfume,ポリゴンウェイヴ,2021-07-02,28,0.616,0.927,6.0,-1.946,1.0,0.0317,0.00608,0.000591,0.32,0.924,128.025
3e5ahs9BMdaz1I6MTrGMOV,Japanese-Pop-Music - retake ver.,KANKAKU PIERO,Rakugakipeiji,2019-02-04,2,0.473,0.958,5.0,-1.255,0.0,0.191,0.00788,6.24e-05,0.0721,0.436,139.902
1gY6DwODrCnoiezXDKgyE5,ポリゴンウェイヴ - Original Mix,Perfume,PLASMA,2022-07-27,28,0.625,0.913,6.0,-2.426,1.0,0.0297,0.00856,0.00159,0.323,0.827,128.015
0wSQxRjHwKpat4YeTg0KKY,Japanese-Pop-Music,KANKAKU PIERO,Zenra,2019-09-04,1,0.456,0.824,8.0,-3.502,1.0,0.0816,0.0178,6.05e-06,0.0736,0.558,140.004
1ZjL8ud1dhT9PDVe3Ov8kF,再生,Perfume,PLASMA,2022-07-27,38,0.525,0.916,6.0,-2.407,1.0,0.0321,0.0191,0.000696,0.0862,0.754,150.01
61V8MzuVfWKNMEAxrVdgQ8,Japanese-Pop-Music,KANKAKU PIERO,1826,2018-07-28,1,0.509,0.916,8.0,-1.433,1.0,0.0759,0.0179,3.32e-05,0.0584,0.752,140.06
5dz0hCNxsQJSQadpeEfK72,Mermaid,WEDNESDAY CAMPANELLA,POP DELIVERY,2024-06-05,28,0.61,0.819,11.0,-5.168,0.0,0.0503,0.0445,7.22e-05,0.841,0.558,173.955
41fsDzzR2sfX4mecsLfncN,Japanese-Pop-Music,KANKAKU PIERO,Break,2015-06-09,2,0.517,0.895,8.0,-3.794,1.0,0.0714,0.00108,0.00202,0.0671,0.644,140.067
11dSzgfnrwDrODPU2A2PRD,好きだ,YOASOBI,はじめての - EP,2023-05-10,32,0.772,0.94,4.0,-3.845,0.0,0.0354,0.136,2.53e-06,0.347,0.839,120.026
66TjT2QwECFY9N6QrpXeO2,"Fall - (From ""TRON: Legacy"") [Japanese Popstars Remix]",Daft Punk,DCONSTRUCTED,2014-01-01,8,0.513,0.944,4.0,-5.602,1.0,0.0578,0.00221,0.84,0.11,0.0379,110.021
2BKnDjJA2uystZA6TciFVE,飛行,ヨルシカ,夏草が邪魔をする,2017-06-28,39,0.591,0.456,7.0,-12.967,1.0,0.038,0.718,0.886,0.109,0.392,99.997
2sJZ12CZ56BnntQAwD2EPL,Popee the Clown - Japanese Version,青柳常夫,Popee the Performer: Popee the Clown,2002-08-21,8,0.75,0.846,0.0,-4.392,1.0,0.0706,0.303,0.0,0.21,0.961,147.007
34HnIHNRAmj0vNoCwh9L6Z,Moon,Perfume,Moon,2023-09-06,24,0.69,0.836,10.0,-3.899,0.0,0.0562,0.00521,0.00334,0.0883,0.685,119.969
1Gb80QJ4mnwSAp2Yol1iB2,Wonky - Japanese Popstars Mix,Orbital,Wonky,2012-05-21,0,0.762,0.678,7.0,-5.326,1.0,0.146,0.000416,0.923,0.0807,0.0776,127.959
0nMcZfnRkGKFLrHpmRFGKi,NIGHT DANCER,imase,J-POP & J-ROCK : JAPAN BEST HITS,2023-04-03,22,0.911,0.585,7.0,-8.078,0.0,0.0735,0.0945,0.0,0.134,0.851,117.06
5DQ56NfWSwFY03GjFWW3Bu,Sanshi Suimei - Traditional Japanese Style Mix,梅村仁,Japanese Style Pops & Healing (vol.3 Shamisen),2019-03-22,16,0.862,0.272,0.0,-13.554,1.0,0.116,0.844,0.912,0.0822,0.177,84.022
6tEUPYdS5m5LmZnmARmOCT,Spending all my time,Perfume,Spending all my time,2012-08-15,37,0.663,0.955,2.0,-2.28,1.0,0.0399,0.119,0.00604,0.0558,0.849,130.021
5wc5wRyWq1p7X59PU3fZXi,Daichino Kaze - Traditional Japanese Style Mix,梅村仁,Japanese Style Pops & Healing vol.2 Shamisen,2018-12-05,16,0.878,0.602,1.0,-10.126,1.0,0.046,0.273,0.743,0.11,0.884,109.989
57rJlyLrqT97JCX90JbdCS,ファンデーション,Perfume,Perfume～Complete Best～,2006-08-02,23,0.676,0.914,11.0,-4.494,0.0,0.0342,0.0357,0.0175,0.145,0.88,127.029
5kskVZ5D1P5FS9z5PYHpKG,A Japanese Popstar,Raid,Raid Demonstration 2023,2023-07-07,1,0.205,0.949,1.0,-7.358,1.0,0.0913,1.57e-06,0.857,0.367,0.332,93.498
0PS3Dtk4MMkrFVXa2Yav3y,575,Perfume,JPN,2012-02-29,21,0.655,0.904,11.0,-2.787,0.0,0.0313,0.0371,0.00239,0.0795,0.954,114.996
0pqfdFt4WHavGluMQCtemb,Matter Of Time - The Japanese Popstars Techno mix,The Japanese Popstars,Matter Of Time,2020-08-27,1,0.734,0.879,5.0,-5.51,1.0,0.137,0.00835,0.898,0.106,0.463,124.972
6cdTg0eMWki5wbLjPA6vmy,If you wanna,Perfume,Future Pop,2018-08-15,18,0.571,0.814,9.0,-2.034,1.0,0.0302,0.298,0.195,0.236,0.769,149.99
4tvIQ57fWca31AYe7NujCz,Beauty and the Beast - Japanese Version,POPURA,Beauty and the Beast (Special Edition) [Original Motion Picture Soundtrack/Japanese Version],2002-01-01,13,0.189,0.0861,5.0,-19.891,0.0,0.0345,0.833,8.25e-05,0.142,0.17,92.722
3dTlqznloNjHBFH65UvoMt,シークレットシークレット,Perfume,GAME,2008,22,0.636,0.924,6.0,-1.962,0.0,0.0384,0.101,1.09e-06,0.117,0.901,132.034
7yVbqHDFL6tuUT7ywOT0Vv,A Dream Is A Wish Your Heart Makes - Pop Version,Kimberly Locke,Cinderella Special Edition (Original Motion Picture Soundtrack/Japanese Version),2005-10-19,17,0.437,0.418,5.0,-9.223,0.0,0.0288,0.599,0.0,0.144,0.0925,137.166
0EPiFuXH49M1kEWhAC6G4O,クエスチョン,meiyo,POP SOS,2023-12-06,33,0.681,0.893,1.0,-3.781,1.0,0.0533,0.0401,0.0,0.0534,0.884,169.995
5OpakLlvLUPPeyzh0SZ8nS,Freedom Love,Dragon Gate Music,Japanese Pop,2021-02-24,1,0.679,0.943,6.0,-3.516,1.0,0.0487,0.153,2.64e-06,0.0161,0.775,139.871
0avzpSgESx7sjlxFDr98iv,NIGHT FLIGHT,Perfume,トライアングル,2009,24,0.614,0.97,0.0,-1.372,0.0,0.0404,0.00821,3.24e-05,0.144,0.827,145.01
4Yzj4XfrLQmbRQpWIJ84Re,Strolling Around an Old Castle in Komoro,Ryutaro Hirota,Japanese Popular Songs,1997-09-30,0,0.244,0.0317,11.0,-23.737,0.0,0.0543,0.995,0.00082,0.0884,0.0762,176.95
0zWuIu9wDk1lpSbK8yFZmv,Spring of Life,Perfume,Spring of Life,2012-04-11,40,0.541,0.987,5.0,-1.688,0.0,0.0627,0.000195,0.309,0.106,0.872,132.002
2Ivt6MB3CMiXRPsBrQBF1o,I Found a Tiny Autumn,Yoshinao Nakada,Japanese Popular Songs,1997-09-30,2,0.441,0.048,4.0,-22.243,0.0,0.0583,0.994,0.00456,0.0999,0.169,70.238
3QwkPWlV0Y75z2LHcTBOH2,コミュニケーション,Perfume,Spring of Life,2012-04-11,36,0.807,0.87,0.0,-2.939,1.0,0.0518,0.0108,0.00434,0.0625,0.964,115.001
5ZKaL2m56nBuTfupgCJtW5,Nu Vox,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,2,0.186,0.672,4.0,-19.89,0.0,0.0548,0.0909,0.0,0.924,0.0212,120.528
69FgxUNACAfTiWmcTjSftU,Evening Primrose,Tadasuke Ōno,Japanese Popular Songs,1997-09-30,2,0.289,0.0168,10.0,-26.013,0.0,0.0453,0.992,0.0123,0.103,0.0669,93.04
0qMWgeZ0noIwad06RmVQpm,Spinning World,Perfume,PLASMA,2022-07-27,33,0.694,0.91,11.0,-3.386,0.0,0.0564,0.00269,0.0394,0.0638,0.69,109.989
06dzwsCEI0R9KL84J4HwDP,"Over There, Over Yonder",Yoshinao Nakada,Japanese Popular Songs,1997-09-30,1,0.384,0.129,0.0,-16.451,1.0,0.0494,0.994,0.000342,0.0878,0.207,125.029
2Mhu1uLMlKlvc0V17Tni0v,IIHI TABIDACHI,Yasukazu Kano,JAPANESE POP STANDARDS with shinobue and piano,2021-11-03,1,0.189,0.0693,2.0,-19.416,0.0,0.0401,0.985,0.92,0.0855,0.115,79.151
22N8TullxTHBKTvt1FYzQM,Dial 1,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,4,0.461,0.181,5.0,-14.85,1.0,0.0859,0.982,0.0201,0.726,0.155,137.514
3zIg70E1b4dXlK2zFSPHlF,popcorn nights,7co,popcorn nights,2022-10-28,28,0.797,0.44,1.0,-4.018,1.0,0.0885,0.269,0.0117,0.108,0.607,72.984
4q37IesC5m7EkvZJTdF5zK,I Talked with the Fog,Yoshinao Nakada,Japanese Popular Songs,1997-09-30,1,0.371,0.0291,4.0,-22.068,0.0,0.046,0.995,0.00175,0.0806,0.111,135.745
3U4q2PzQAGlT4iistqvnDl,Routine Life,Yuinishio,Routine Life,2024-01-10,24,0.739,0.838,11.0,-2.875,0.0,0.0324,0.114,7.3e-05,0.271,0.655,105.009
